age,income,policy_amount,num_claims,fraudulent
56,42560,30257,1,0
69,78390,13860,4,1
46,88149,31645,3,0
32,56660,29189,3,0
60,65104,20762,4,0
25,77805,5968,4,0
78,44496,10800,1,0
38,23515,29229,1,0
56,24454,36049,1,0
75,42873,34717,2,0
36,93920,26767,4,1
40,33727,12470,4,0
28,89070,9819,4,1
28,69979,41003,4,1
41,45465,26639,1,1
70,73900,9300,1,0
53,79799,28793,2,1
57,41330,16071,1,0
41,28302,8998,4,0
20,98443,46750,4,1
39,92717,10180,0,0
70,32875,17752,1,0
19,47219,35513,0,0
41,56182,43189,4,0
61,62269,22879,1,1
47,99781,29362,4,0
55,26457,19316,0,0
19,26749,32644,0,1
77,53064,15899,3,1
38,29821,29525,3,1
50,98655,10378,1,0
29,27664,7577,1,0
75,49281,26690,1,0
39,51821,45901,1,0
78,44647,39003,1,0
61,89918,20641,1,0
42,94944,8659,1,0
66,47603,16847,0,0
44,66458,26752,0,0
76,90605,21440,0,0
59,39623,15084,4,1
45,64440,12472,2,0
77,27704,23953,4,0
33,47460,25464,1,0
32,93511,27761,2,0
79,26565,23332,0,0
79,24870,21606,0,0
64,38909,47599,3,1
79,29117,33998,1,0
68,87474,42985,1,0
61,64322,18537,3,1
72,40128,47717,4,1
69,89001,14027,3,0
74,20440,7536,1,0
20,80955,7525,0,1
54,69613,14176,3,1
68,90949,22741,2,1
24,31663,9887,0,0
38,39547,29106,4,0
26,20005,19847,0,0
56,27038,16252,4,0
35,26414,9477,0,0
21,89506,22755,1,0
42,96586,24608,4,1
77,22606,21095,4,0
31,36482,11104,3,0
67,91873,38910,0,1
75,53948,25693,4,0
26,40875,34403,4,0
43,33057,17726,0,0
70,52400,11898,0,1
19,91458,22972,2,0
37,88607,49945,3,0
45,47503,47430,4,1
64,43765,49874,0,0
77,66612,17682,4,0
24,29428,9342,2,0
61,51419,8362,2,1
78,85195,19583,4,0
25,93695,39404,3,0
64,59142,16104,1,0
52,91540,31048,4,0
31,58289,22628,2,1
34,96948,16929,3,0
53,78951,31674,0,0
67,31755,48557,3,1
57,23890,18268,3,1
21,37175,26690,4,0
19,94727,35220,3,0
79,85687,15704,0,0
23,44288,9514,4,1
71,66629,29834,2,1
59,67800,23742,0,0
21,57367,35892,4,1
71,97810,32987,4,0
46,97754,43383,1,1
35,88513,19840,0,0
43,49022,40144,3,0
61,89329,29771,0,1
51,79414,33733,0,0
27,21659,24480,1,0
79,77941,25019,3,1
53,57930,21945,1,0
31,63473,16641,1,1
48,75598,20232,1,0
65,36040,49326,0,1
32,89806,16315,1,0
25,33286,48851,2,0
31,89139,29615,3,0
40,75916,28255,3,1
77,37600,35709,1,0
74,22291,40272,0,0
79,33123,27355,4,0
57,23811,30363,4,0
38,98883,15068,0,1
33,51276,47452,1,0
62,74145,47089,1,0
35,66619,48223,2,0
64,90678,11822,4,1
70,46714,25893,4,1
41,75685,17497,3,0
43,32194,36801,1,0
42,93062,19251,0,0
77,84037,27570,1,0
77,39362,48145,1,1
77,74499,24944,2,0
62,66281,10679,0,1
58,82813,44380,2,0
46,64852,26205,2,0
32,67836,21272,2,0
62,24595,6412,2,0
18,35402,7249,1,0
42,85283,7239,3,0
24,62723,45641,1,1
26,71322,17614,2,1
41,66764,28277,2,0
18,44911,13835,3,0
61,39405,34028,4,1
25,78122,19803,0,1
41,23447,17795,2,0
28,73143,20653,2,1
68,82906,42953,1,0
34,30662,25674,2,0
25,83001,25526,2,0
52,78282,47345,0,1
52,24899,44920,1,0
50,48582,37614,4,0
76,87471,23968,2,1
22,62213,22985,2,1
59,95871,22191,4,0
56,94081,48619,3,0
75,57830,46074,4,1
58,27066,36908,4,0
45,30712,34072,1,0
24,85365,17093,4,0
26,50806,13165,1,1
25,32210,48688,4,1
29,56972,25555,2,0
51,54136,31025,2,0
50,64297,17574,3,1
65,35945,39336,4,0
72,62477,30898,0,0
40,99180,30436,4,0
79,90453,47690,0,1
41,97413,27821,4,0
54,33224,9904,1,0
52,23052,40701,2,0
61,47272,33094,0,0
57,61150,9509,0,0
39,37316,9526,4,0
44,73389,43677,2,0
52,83332,40935,3,0
18,27240,15110,0,0
52,88774,39108,2,0
54,63175,6514,2,0
64,20565,22795,0,0
31,91094,32612,1,1
20,36375,45492,1,1
18,45710,9167,4,0
22,69895,22406,4,0
43,96639,34203,2,0
72,35174,48246,0,0
31,47597,34248,1,0
56,94289,49731,2,0
44,58397,14304,1,0
26,91854,9808,0,1
32,53069,33455,1,1
32,60274,13833,3,1
43,94237,36897,4,1
59,92498,44501,1,0
77,58197,15429,0,1
30,68634,9907,0,0
68,50041,16678,3,0
49,27248,8225,0,0
56,22203,6014,3,0
66,71986,11768,2,0
69,45370,43226,1,0
78,55247,7021,0,1
49,95922,48896,4,1
21,20434,40874,1,1
47,82982,46743,3,1
54,85180,13862,1,1
40,54474,48729,1,0
56,44644,48533,0,0
62,58493,7584,4,0
32,23959,9942,2,0
60,67289,39045,4,1
46,31143,40811,3,0
53,59593,12370,4,0
30,59115,49132,4,0
49,42540,18672,3,0
24,55481,13369,4,1
76,97097,13467,2,0
68,42578,31935,1,1
39,32787,24865,2,1
45,92048,16551,1,0
19,72879,47384,1,1
